ability;neurčitý člen;;
dull;tupý, nudný, neživý;;
dumplings;knedlíky;;
during;během (v průběhu);;
dust;prach, prášit;;
duty;povinnost, služba, clo, poplatek;;
each;každý;;
ear;ucho;;
early;časný, brzký, raný, časně, brzy;;
earn;vydělávat;;
earth;země (svět), hlína, svět;;
earthquake;zemětřesení;;
east;východ (zeměpisně), východní;;
easy;snadný, nenucený;;
eat;jíst;;
economy;ekonomika, hospodaření;;
education;vzdělání;;
effort;námaha;;
either;každý (ze dvou), jeden nebo druhý (ze dvou);;
elect;zvolit;;
electrician;elektrikář;;
electricity;elektřina;;
element;prvek, element;;
elevator;výtah;;
else;jiný, jinak, jinde, ještě;;
email;e-mail;;
embarrass;uvést do rozpaků, zmást, poplést;;
employ;zaměstnat, použít;;
employment;zaměstnanost;;
empty;prázdný, vyprázdnit;;
enable;uschopnit, dát možnost;;
encourage;povzbudit, dodat odvahu;;
end;konec, končit;;
ending;závěr, koncovka;;
enemy;nepřítel;;
engine;stroj, motor, lokomotiva;;
English;anglicky, angličtina;;
enjoy;mít potěšení, těšit se, požívat;;
enough;dost;;
enrol;zapsat se (na seznam);;
entertaining;závbavný;;
entertainment;zábava;;
entire;veškerý,  naprostý, celý;;
entrance;vchod;;
envelope;obálka;;
environment;prostředí;;
equal;rovný, stejný, rovnat se;;
error;omyl, chyba;;
escalator;eskalátor;;
especially;obzvláště, speciálně;;
essential;podstatný, hlavní;;
establish;založit (např. Společnost);;
estate;majetek;;
estimate;odhad, odhadnout, ocenit;;
even;I;;
evening;večer;;
event;událost, případ;;
ever;kdy, vždy, stále;;
every;každý;;
everybody;každý, všichni;;
everything;všechno;;
everywhere;všude;;
exact;přesný;;
exam;zkouška;;
example;příklad;;
excellent;vynikající, výborný;;
excite;vzrušit, rozčílit;;
excuse;omluvit, odpustit;;
executive;výkonný;;
exercise;cvičení;;
exchange;výmena, vyměnit, burza;;
exists;existovat, být, vyskytovat se;;
exit;východ (odkud);;
expect;očekávat;;
except;až na, kromě;;
exclude;vyloučit;;
expensive;drahý, nákladný;;
experience;zkušenost, zážitek, zažít;;
expert;zručný, odborný, odborník, znalec;;
explain;vysvětlit;;
explanation;vysvětlení;;
explore;prozkoumat, probádat;;
export;export, vývoz;;
express;vyjádřit, vytlačit, výslovný, rychlý, rychle;;
extend;natáhnout, prodloužit, rozšířit;;
extra;navíc, zvlášť;;
eye;oko;;
fabric;látka;;
face;tvář, obličej;;
fact;fakt, skutečnost;;
factory;továrna;;
fail;selhat, nezvládnout;;
failure;selhání, neúspěch;;
fair;trh (prodej), veletrh, fér, slušný, správně;;
fairytale;pohádka;;
fall;padat, klesat, zahynout;;
NEPRAVDA;nesprávný, nevěrný, falešný;;
familiar;dobře známý;Are you familiar with this word?;Znáš to slovo
family;rodina;;
famous;slavný;;
fan;ventilátor, větrák;;
far;daleko;;
fare;jízdné;;
farming;zemědělství;;
fashion;móda, módní;;
fast;rychlý, rychle;;
fasten;připoutat (se);;
fat;tlustý, tučný, tuk, sádlo;;
father;otec;;
father-in-law;tchán;;
fault;chyba, vina;;
favourite;oblíbený;;
fee;honorář, poplatek;;
feed;krmit, živit, pást se, zásobovat;;
feel;cítit (se);;
feet;nohy, chodidla, stopy (míra);sing. Foot;
fever;horečka;;
few;málo, nemnoho;;
field;pole, sféra;;
fight;bojovat, zápasit, dobýt;;
file;složka, pořadač;;
fill;naplnit, vyplnit;;
final;konečný, závěrečný;;
finance;finance;;
financial;finanční;;
find;najít, nalézt;;
fine;pokuta, jemný, uhlazený, příjemný;;
finger;prst (u ruky);;
finish;dokončit, konec, závěr;;
firm;pevný, stálý, firma, podnik;;
first;první;;
fish;ryba;;
fist;pěst;;
fit;padnout;;
flag;vlajka, prapor, dlaždice;;
flat;byt, rovný, plochý;;
flood;povodeň, záplava;;
floor;podlaha, patro;;
flow;téci, tok, proud;;
flower;kytka;;
fly;letět, moucha;;
fog;mlha;;
follow;následovat;;
food;jídlo, potrava, chodidlo;;
football;fotbal;;
for;pro;;
forecast;předpověď, výhled (budoucnosti);;
foreign;cizí, zahraniční;;
forest;les;;
forget;zapomenout;;
forgive;odpustit;;
fork;vidlička;;
form;tvar, forma, formulář;;
forward;dopředu, vpřed;;
fragile;křehký;;
free;svobodý, zdarma;;
freedom;svoboda;;
freeze;mrznout;;
fresh;čerstvý, svěží;;
friend;přítel, známý;;
friendly;přátelský;;
from;od, z;;
front;přední;;
frost;mráz, námraza;;
fruit;ovoce;;
full;plný;;
fun;zábava, legrace;;
fund;fond, peněžité prostředky;;
funny;směšný, zábavný;;
furniture;nábytek;;
further;dále, další, vzdálenější;;
future;budoucnost, budoucí;;
gain;získat, vyhrát;;
game;hra, zvěřina;;
garage;garáž;;
garbage;odpadky;;
garden;zahrada;;
garlic;česnek;;
gas;plyn;;
gasoline;benzín;;
gate;brána;;
gather;shromáždit;;
collect;sbírat;;
general;všeobecný, obecný, hlavní, generál;;
get;dostat, obdržet, získat;;
gift;dárek;;
girl;dívka;;
girlfriend;snoubenka, přítelkyně;;
give;dát, udělit, věnovat;;
glad;potěšen;;
glass;sklo, sklenice;;
glasses;brýle;;
gloves;rukavice;;
go;jít;;
gold;zlato;;
good;dobrý, hodný, laskavý;;
goods;zboží;;
gossip;pomlouvat;;
government;vláda;;
grade;třída, stupeň;;
grandfather;dědeček;;
grandmother;babička;;
grape;hroznové víno;;
grass;tráva;;
grateful;vděčný;;
great;velký, skvělý;;
green;zelený;;
greet;pozdravit;;
greeting;pozdrav;;
grey;šedý, šeď;;
ground;půda, dno, země;;
ground-floor (on the);přízemí;Our office Is on the ground-floor.;Naše kancelář je v přízemí.
group;skupina, seskupit se;;
grow;růst (sloveso), pěstovat;;
growth;růst (podst.jm.), výrůstek;;
guarantee;ručitel, záruka, ručení, ručit;;
guard;střeh, stráž, hlídka, střežit, hlídat;;
guess;domnívat se, hádat;;
guest;host;;
guide;průvodce, návod;;
guitar;kytara;;
gun;střelná zbraň;;
hair;vlasy;;
half;polovina, poloviční;;
hall;sál, hala;;
hand;rukavice;;
handsome;pohledný (o muži);;
hang;pověsit, oběsit, viset;;
happen;stát se, přihodit se;;
happiness;štěstí;;
happy;šťastný;;
hard;tvrdý, těžký;;
hardly;stěží, sotva;;
hardware;hardware, železářské zboží;;
hat;klobouk;;
hate;nenávidět;;
have;mít, dostat, vzít si;;
he;on;;
head;hlava, ředitel, vést;;
headache;bolest hlavy;;
health;zdraví;;
healthy;zdravý;;
hear;slyšet, poslouchat;;
heart;srdce;;
heaven;nebe;;
heavy;těžký;;
height;výška;;
hello;ahoj;;
help;pomoc;;
helpful;ochotný;;
her;její;;
here;zde, sem;;
hero;hrdina;;
hers;její;This purse is hers.;To je její kabelka.
hesitate;váhat, zdráhat se;;
hi;nazdar, ahoj;;
hide;skrýt, zatajit;;
high;vysoký;;
highway;dálnice;;
hill;kopec, vrch;;
him;ho, jeho;;
hire;najmout (si);;
his;jeho;;
history;dějiny, historie;;
hit;zásah, zasáhnout;;
hobby;koníček;;
hockey;hokej;;
hold;držet;;
hole;díra, otvor;;
holiday;dovolená, prázdniny, svátek;;
home;domov;;
homework;domácí úkol;;
honest;poctivý, čestný, upřímný;;
hope;naděje, doufat;;
horrible;strašný, hrozný;;
horse;kůň;;
hospital;nemocnice;;
host;hostitel;;
hot;horký, horko;;
hotel;hotel;;
hour;hodina;;
house;dům;;
housewife;žena v domácnosti;;
how;jak;;
however;jakkoli, nicméně;;
huge;obrovský;;
human;lidský;;
humble;pokorný, skromný;;
humour;nálada, humor;;
hundred;sto;;
hungry;hladový;;
hurry;spěch, pospíchat;;
hurt;ranit, ublížit, bolet;;
husband;manžel;;
I;já;;
ice;led, zmrzlina;;
icy;ledový, namrzlý;;
idea;nápad, myšlenka;;
identical;totožný;;
identity;totožnost, identita;;
if;kdyby, jestliže;;
ignore;ignorovat;;
ill;nemocný;;
illegal;nezákonný, ilegální;;
illness;nemoc;;
illustrate;ilustrovat;;
imagine;představit si;;
immediately;okamžitě;;
impatient;netrpělivý;;
impolite;nezdvořilý;;
import;import;;
important;důležitý;;
impossible;nemožný;;
impression;dojem;;
improve;zlepšit se;;
in;v, na;;
include;zahrnout, obsahovat;;
including;včetně;;
income;plat, příjem;;
inconvenient;nevhodný, nevýhodný;;
incorrect;nesprávný;;
increase;zvýšit, zvětšit;;
incredible;neuvěřitelný;;
indeed;opravdu, skutečně;;
independent;nezávislý;;
indicate;naznačit, indikovat;;
industrial;průmyslový;;
industry;průmysl;;
inflation;inflace;;
influence;ovlivnit, vliv;;
inform;oznámit, informovat;;
information;informace;;
initial;počáteční;;
injure;zranit;;
inner;vnitřní;;
innocent;nevinný;;
inside;vnitřek, uvnitř;;
insist;naléhat;;
inspect;dohlížet, kontrolovat;;
install;nastolit, instalovat;;
instance;příklad, případ;;
instant;okamžik, okamžitě;;
instantly;okamžitě;;
instead;místo toho, na místě;;
instinct;instinkt;;
instruct;učit, instruovat, dát pokyn;;
insult;urážka, urazit;;
insurance;pojištění;;
intelligence;správa, inteligence;;
intensive;intenzivní;;
interest;zájem, úrok;;
interesting;zajímavý;;
internal;vnitřní, vnitrozemský;;
internet;internet;;
interpret;vykládat, tlumočit;;
interpreter;tlumočník;;
interrupt;přerušit;;
intersection;křižovatka;;
interview;interview, pohovor;;
intimate;důvěrný, intimní;;
into;do;I don’t want to go into it;
introduce;uvést, zavést, představit;;
introduction;uvedení, úvod;;
invent;vynalézt;;
invention;vynález;;
investigate;pátrat, vyšetřovat;;
investigation;pátrání, vyšetřování;;
invitation;pozvání;;
invite;pozvat, vyzvat;;
invoice;faktura;;
involve;zapojit, zaplést;How many people will this project involve?;
iron;železo, železný, žehlit;;
irregular;nepravidelný;;
island;ostrov;;
issue;záležitost, problematika, vydat;;
it;to, ono;;
item;položka, bod (programu);;
itself;samo;It should be enough for the job by itself;Pro tu práci jako takovou by to mělo stačit
jacket;sako, kabát;;
jar;nádoba;;
jazz;jazz;;
jealous;žárlivý;;
jeans;džínsy;;
jewel;klenot, šperk, drahokam;;
job;práce, úkol;;
join;spojit (se), sjednotit (se), připojit (k), vstoupit (do);;
joke;vtip;;
journalist;novinář;;
journey;cesta;;
joy;radost;;
judge;soudce, rozhodčí;;
juice;džus, šťáva;;
jump;skok;;
jungle;džungle;;
just;spravedlivý, jenom, právě;;
justice;spravedlnost;;
keep;zachovávat, dodržovat, podporovat, nechat si;;
ketchup;kečup;;
key;lklíč;;
keyboard;klávesnice;;
kill;zabít;;
kilo;kilo;;
kilometre;kilometr;;
kind;laskavý, druh;;
kindness;laskavost;;
king;král;;
kitchen;kuchyně;;
knee;koleno;;
knife;nůž;;
know;vědět, znát;;
knowledge;znalost;;
lady;dáma, paní;;
lake;jezero;;
lamp;lampa, svítilna;;
land;země, půda, pozemek;;
landlord;pronajímatel, pan domácí;;
lane;jízdní pruh;;
language;jazyk, řeč;;
large;velký;;
last;poslední, minulý, trvat;How long do you think it will last?;
late;pozdě, pozdní;;
later;pozdější, později;;
laugh;smát se;;
laughter;smích;;
laundry;prádelna, prádlo;;
launch;spustit na vodu, zahájit, vypustit;;
law;zákon;;
lawn;trávník;;
lawyer;právník;;
lay;položit;;
lazy;líný;;
lead;vést;;
leader;vůdce, vedoucí;;
leak;prasklina, protékat, unikat;;
learn;učit se;;
lease;nájem, pronájem, pronajmout;We lease an apartment.;
least;nejméně;;
leather;kůže;;
leave;opustit, odejít, dovolení, dovolená;He is on leave this week.;
lecture;přednáška;;
left;levý, vlevo, nalevo;;
leg;noha;;
legal;legální, právní, zákonný;;
lend;půčit;I can lend you the money.;
length;délka;;
less;menší, zmenšit;;
lesson;lekce, vyučovací hodina, úkol;;
let;nechat, dovolit, pronajmout;Let him go.;The apartment is let now.
letter;písmeno, dopis;;
level;rovina, úroveň, rovný, stejnoměrný;;
liar;lhář;;
liberty;svoboda;;
library;knihovna;;
license;licence, povolení, průkaz;;
lie;ležet, lež, lhát;;
life;život;;
lift;zvednout (se), výtah;;
light;světlo, světlý, lehký, rozsvítit, osvětlovat;;
like;jako, podobný, mít rád;;
limit;omezení, omezit, limit;;
line;čára, fronta;;
list;seznam;;
listen;poslouchat, naslouchat;;
literature;literatura;;
litre;litr;;
little;malý, málo;;
live;žít, bydlit, živý;;
living;živobytí, živý, žijící;;
living room;obývací pokoj;;
loan;půjčka;;
local;místní;;
locate;umístit, lokalizovat, nacházetse;Do you know where the teatre is located?;
location;místo, lokalita;;
lock;zamknout, zavřít;;
lonely;osamělý;;
long;dlouhý, dlouho;;
look;dívat se, hledět, vypadat, vzhled;;
lorry;dodávka, nákladní vůz;;
lose;ztratit, prohrát;;
loss;ztráta, škoda;;
lost;ztracený, prohraný;;
lot;hodně;;
loud;hlasitý, křiklavý, hlasitě, nahlas;;
love;láska;;
lovely;půvabný, milý, roztomilý;;
low;nízký, tichý, nízko;;
luck;štěstí, náhoda;;
lucky;šťastný;;
luggage;zavazadlo;How much luggage do you have?;
lunch;oběd;What did you have for lunch?;
mad;šílený, bláznivý;;
magazine;časopis;;
machine;stroj;;
mail;pošta;;
main;hlavní;;
maintenance;podpora, údržba;;
major;větší, důležitý;;
majority;většina;;
make;dělat, vyrábět, přimět;I’m going to make a cake.;
make up;makeup, nalíčení;;
man;člověk, muž;;
manage;řídit, spravovat, zařídit;;
management;management;;
manner;způsob;You will do it in this manner.;
manual;ruční, tělesný, příručka;;
many;mnohý, četný, mnoho;;
map;mapa, plán;;
mark;cíl, terč, stopa, značka;;
market;trh;;
marriage;manželství, sňatek;;
marry;oženit (se), vdát (se);;
material;materiál;;
mathematics;matematika;;
match;zápas, sirka, shodovat se;;
matter;látka, záležitost, vadit;It doesn’t matter.;
may;smím, mohu;;
maybe;možná;;
me;mne, mě, mně;;
meal;jídlo (denní);;
mean;znamenat;;
meaning;mínění;;
measure;míra, rytmus, opatření, měřit;;
meat;maso;;
medicine;lék, lékařství;;
medium;střed, průměr, střední;;
meet;potkat, sejít se;;
meeting;schůzka, setkání;;
mechanic;opravář, mechanik;;
melody;melodie;;
member;člen;;
membership;členství;;
memory;paměť;;
mention;zmínit se, zmínka;;
menu;jídlení lístek;;
mess;nepořádek, zmatek;;
message;zpráva, vzkaz;;
metal;kov, železo;;
method;metoda, způsob, postup;;
metre;metr;;
middle;střední, prostřední;;
midnight;půlnoc;;
might;smím (podmiňovací – směl bych), mohu (podmiňovací – mohl bych);He might go with us.;
mild;mírný;;
mile;míle;;
milk;mléko;;
million;milion;;
mind;mysl, smýšlení, dbát (na), namítat (proti);;
mine;můj, mina, důl, dolovat;;
mineral;minerální;;
minister;ministr;;
minor;menší;;
minority;menšina;;
minute;minuta;;
mirror;zrcadlo;;
miss;minout, chybit, netrefit, zmeškat, postrádat;;
Miss;slečna (před jménem);;
missing;chybějící, pohřešovaný;;
mistake;chyba, omyl;;
misunderstanding;nedorozumění, neporozumění;;
mix;namíchat, smíchat;;
mobile;mobilní;;
modern;moderní;;
moment;okamžik;Wait a moment, please!;
money;peníze;;
monopoly;monopol;;
month;měsíc (v roce);;
mood;nálada;;
moon;měsíc (na obloze);;
more;více;;
morning;ráno, dopoledne;;
most;největší, většina;;
mother;matka;;
Mother-in-law;tchýně;;
motorcycle;motocykl;;
mountain;hora;;
mouth;ústa, ústí;;
